datetime_au,is_summer,is_autumn,is_winter,is_spring,is_sunday,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekend,is_weekday,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,avg_30_min_demand,min_30_min_demand,max_30_min_demand,sum_30_min_demand,count_30_min_points,avg_temp,min_temp,max_temp,hd_next_24h,cd_next_24h,precipitation,sunlight
2016-01-01,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6861.5183333333333333,5631.7400000000000000,7913.7500000000000000,329352.8800000000000000,48,20.7040816326530612,15.20,26.00,0,1.2040816326530612,2.14009547,32.3
2016-01-02,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6731.9572916666666667,5559.3700000000000000,7390.0400000000000000,323133.9500000000000000,48,20.5729166666666667,14.90,24.20,0,1.0729166666666667,6.49632645,23.2
2016-01-03,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6618.0400000000000000,5476.6600000000000000,7328.3900000000000000,317665.9200000000000000,48,21.1307692307692308,19.00,22.90,0,1.6307692307692308,8.56248569,12.7
2016-01-04,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7358.5500000000000000,5589.5800000000000000,8313.1100000000000000,353210.4000000000000000,48,20.1444444444444444,18.40,23.10,0,0.6444444444444444,4.08220434,7.6
2016-01-05,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7460.0618750000000000,5768.6000000000000000,8338.8200000000000000,358082.9700000000000000,48,18.9048076923076923,17.40,20.30,0,0,9.97737217,3.9
2016-01-06,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7446.8970833333333333,5812.2600000000000000,8256.9500000000000000,357451.0600000000000000,48,17.4481481481481481,16.60,18.10,0,0,2.93276381,2.6
2016-01-07,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7324.3889583333333333,5766.1600000000000000,7954.5900000000000000,351570.6700000000000000,48,19.0670454545454545,15.70,22.50,0,0,0.130371526,25.1
2016-01-08,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7412.8116666666666667,5833.5300000000000000,8340.4500000000000000,355814.9600000000000000,48,19.8976744186046512,13.90,25.20,0,0.3976744186046512,0.018614778,28.3
2016-01-09,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7171.1831250000000000,5854.5000000000000000,8055.5700000000000000,344216.7900000000000000,48,21.2979166666666667,16.70,25.50,0,1.7979166666666667,0.354907185,24.3
2016-01-10,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7350.2641666666666667,5724.9700000000000000,8904.3800000000000000,352812.6800000000000000,48,21.6215686274509804,15.80,27.10,0,2.1215686274509804,0.056991931,30.1
2016-01-11,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9098.2583333333333333,6037.2100000000000000,11713.5700000000000000,436716.4000000000000000,48,25.7416666666666667,18.20,33.90,0,6.2416666666666667,0.833619714,28
2016-01-12,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9070.0029166666666667,6493.6200000000000000,11300.2100000000000000,435360.1400000000000000,48,24.3692307692307692,20.20,33.80,0,4.8692307692307692,1.05690968,19.3
2016-01-13,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9125.6787500000000000,6353.2600000000000000,11569.1900000000000000,438032.5800000000000000,48,23.9333333333333333,20.60,27.30,0,4.4333333333333333,1.73882127,30.4
2016-01-14,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9368.9518750000000000,6620.1800000000000000,12670.8700000000000000,449709.6900000000000000,48,24.2795454545454545,15.80,39.10,0,4.7795454545454545,9.40467262,14.7
2016-01-15,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7510.3258333333333333,6107.4300000000000000,8372.1600000000000000,360495.6400000000000000,48,16.7831168831168831,13.50,20.40,0.2168831168831169,0,2.94167089,12.8
2016-01-16,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6801.9187500000000000,5673.8000000000000000,7344.4600000000000000,326492.1000000000000000,48,18.4224137931034483,15.10,22.20,0,0,0.033240479,23.9
2016-01-17,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6750.1406250000000000,5597.4800000000000000,7686.6800000000000000,324006.7500000000000000,48,19.5270833333333333,14.00,23.70,0,0.0270833333333333,0.041345019,30.5
2016-01-18,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7981.0966666666666667,5867.7100000000000000,9471.1400000000000000,383092.6400000000000000,48,21.1166666666666667,14.90,26.10,0,1.6166666666666667,0.001512325,30
2016-01-19,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8868.0383333333333333,6182.3700000000000000,11196.1700000000000000,425665.8400000000000000,48,24.3920000000000000,16.30,33.20,0,4.8920000000000000,0.534724057,31.1
2016-01-20,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9605.7860416666666667,6378.9800000000000000,12566.7900000000000000,461077.7300000000000000,48,27.6183673469387755,18.50,37.60,0,8.1183673469387755,2.66179466,27
2016-01-21,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9828.8833333333333333,6828.8600000000000000,12777.0700000000000000,471786.4000000000000000,48,26.7134615384615385,22.60,36.10,0,7.2134615384615385,6.49008417,22.1
2016-01-22,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8906.7793750000000000,6748.9400000000000000,10629.0000000000000000,427525.4100000000000000,48,24.1035714285714286,22.30,28.10,0,4.6035714285714286,12.7740965,8.8
2016-01-23,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7632.1233333333333333,6142.8200000000000000,8578.5300000000000000,366341.9200000000000000,48,23.1218181818181818,21.50,25.60,0,3.6218181818181818,0.9371773,19.2
2016-01-24,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7105.2508333333333333,5843.2500000000000000,7917.9500000000000000,341052.0400000000000000,48,21.8588235294117647,19.80,24.00,0,2.3588235294117647,0.090225346,10.6
2016-01-25,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7891.9716666666666667,5967.3200000000000000,8989.8600000000000000,378814.6400000000000000,48,22.4862745098039216,20.40,24.50,0,2.9862745098039216,2.14625812,3.8
2016-01-26,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7335.9902083333333333,5847.5800000000000000,8300.7900000000000000,352127.5300000000000000,48,22.4406250000000000,19.60,26.80,0,2.9406250000000000,4.51344776,25.3
2016-01-27,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8039.4429166666666667,6028.3600000000000000,9201.3800000000000000,385893.2600000000000000,48,22.0074074074074074,19.40,24.20,0,2.5074074074074074,6.67460442,8.3
2016-01-28,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8643.6514583333333333,6171.6300000000000000,10423.7000000000000000,414895.2700000000000000,48,24.2229166666666667,21.50,28.90,0,4.7229166666666667,2.87882972,21.3
2016-01-29,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8599.5389583333333333,6383.5500000000000000,10196.7100000000000000,412777.8700000000000000,48,23.2879310344827586,19.90,28.60,0,3.7879310344827586,5.95044518,14.4
2016-01-30,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7700.9152083333333333,6085.9400000000000000,8943.8000000000000000,369643.9300000000000000,48,21.8435483870967742,18.80,26.70,0,2.3435483870967742,5.52764511,16.9
2016-01-31,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7432.3735416666666667,5905.4800000000000000,8823.5300000000000000,356753.9300000000000000,48,23.2882352941176471,18.20,29.00,0,3.7882352941176471,1.57965696,25.5
2016-02-01,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8040.4754166666666667,6035.3100000000000000,9149.4200000000000000,385942.8200000000000000,48,21.2890909090909091,16.70,25.10,0,1.7890909090909091,1.77821898,14.4
2016-02-02,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8104.0437500000000000,5989.8900000000000000,9503.1300000000000000,388994.1000000000000000,48,20.7604166666666667,14.80,25.90,0,1.2604166666666667,1.79460466,27.5
2016-02-03,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8539.1845833333333333,6114.7900000000000000,10422.2900000000000000,409880.8600000000000000,48,23.4687500000000000,16.80,29.80,0,3.9687500000000000,2.54995465,27
2016-02-04,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7867.4406250000000000,6114.9600000000000000,8760.5700000000000000,377637.1500000000000000,48,21.2597222222222222,19.00,23.50,0,1.7597222222222222,1.07430768,12.4
2016-02-05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7675.8477083333333333,5882.6500000000000000,8515.9900000000000000,368440.6900000000000000,48,22.0333333333333333,20.10,24.00,0,2.5333333333333333,0.450750738,19.5
2016-02-06,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7191.5210416666666667,5780.3700000000000000,7886.2900000000000000,345193.0100000000000000,48,22.1530612244897959,19.60,25.40,0,2.6530612244897959,1.11705804,21.2
2016-02-07,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7254.8341666666666667,5812.4700000000000000,8462.7400000000000000,348232.0400000000000000,48,21.7354166666666667,17.50,25.80,0,2.2354166666666667,0.006570634,24.4
2016-02-08,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8362.7625000000000000,5961.0500000000000000,10179.1800000000000000,401412.6000000000000000,48,22.2895833333333333,16.80,27.40,0,2.7895833333333333,0.003718933,28.2
2016-02-09,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8400.1314583333333333,6274.2500000000000000,9857.2900000000000000,403206.3100000000000000,48,22.2750000000000000,19.30,25.10,0,2.7750000000000000,0.003357546,25.6
2016-02-10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8561.4700000000000000,6142.9000000000000000,10506.0800000000000000,410950.5600000000000000,48,22.9729166666666667,17.90,28.20,0,3.4729166666666667,0.081647851,28
2016-02-11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8562.6556250000000000,6206.1300000000000000,10207.7900000000000000,411007.4700000000000000,48,23.0062500000000000,17.20,27.80,0,3.5062500000000000,0.695597172,23.7
2016-02-12,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8790.5489583333333333,6333.5700000000000000,10666.9600000000000000,421946.3500000000000000,48,24.0583333333333333,18.80,28.40,0,4.5583333333333333,0.098028153,25.1
2016-02-13,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8192.0581250000000000,6237.9700000000000000,9924.0500000000000000,393218.7900000000000000,48,24.2645833333333333,18.60,29.60,0,4.7645833333333333,0.061518099,27.9
2016-02-14,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8193.1302083333333333,6005.0900000000000000,10419.8100000000000000,393270.2500000000000000,48,25.3127272727272727,18.90,35.90,0,5.8127272727272727,0.085834168,21.3
2016-02-15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9121.5820833333333333,6360.3200000000000000,11389.4800000000000000,437835.9400000000000000,48,24.5166666666666667,22.00,28.10,0,5.0166666666666667,0.891179264,20.6
2016-02-16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8454.7258333333333333,6443.1700000000000000,9721.0200000000000000,405826.8400000000000000,48,21.7586206896551724,17.10,25.60,0,2.2586206896551724,0.565545142,23
2016-02-17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7998.1068750000000000,6144.0000000000000000,8995.2700000000000000,383909.1300000000000000,48,20.4104166666666667,17.60,23.20,0,0.9104166666666667,0.215434134,22.9
2016-02-18,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8259.6241666666666667,6134.8600000000000000,9645.8400000000000000,396461.9600000000000000,48,21.7666666666666667,14.90,26.50,0,2.2666666666666667,0.051555805,25.6
2016-02-19,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9057.8450000000000000,6328.8700000000000000,11446.1300000000000000,434776.5600000000000000,48,24.7062500000000000,18.20,30.30,0,5.2062500000000000,0.960631311,25.3
2016-02-20,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7977.9697916666666667,6507.0900000000000000,9019.1300000000000000,382942.5500000000000000,48,24.4200000000000000,22.60,27.50,0,4.9200000000000000,1.15802062,18.8
2016-02-21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7709.0466666666666667,6046.8600000000000000,9251.2900000000000000,370034.2400000000000000,48,22.8018518518518519,20.20,27.40,0,3.3018518518518519,0.269313812,19.6
2016-02-22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9009.0620833333333333,6235.9200000000000000,11323.2600000000000000,432434.9800000000000000,48,23.8729166666666667,18.90,29.60,0,4.3729166666666667,0.057705499,23.9
2016-02-23,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9182.9660416666666667,6328.0700000000000000,11687.8800000000000000,440782.3700000000000000,48,22.9877192982456140,17.10,30.00,0,3.4877192982456140,0.185166091,25.4
2016-02-24,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9502.7445833333333333,6458.2100000000000000,12399.8000000000000000,456131.7400000000000000,48,24.9958333333333333,19.10,30.80,0,5.4958333333333333,0.241984501,23
2016-02-25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10090.7968750000000000,6531.2500000000000000,13458.6300000000000000,484358.2500000000000000,48,27.0283018867924528,19.20,37.70,0,7.5283018867924528,0.069119811,25.8
2016-02-26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8986.6814583333333333,6871.4800000000000000,10404.5400000000000000,431360.7100000000000000,48,24.5312500000000000,22.70,26.60,0,5.0312500000000000,0.112866752,11.8
