datetime_au,is_summer,is_autumn,is_winter,is_spring,is_sunday,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekend,is_weekday,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,avg_30_min_demand,min_30_min_demand,max_30_min_demand,sum_30_min_demand,count_30_min_points,avg_temp,min_temp,max_temp,hd_next_24h,cd_next_24h,precipitation,sunlight
1/01/2010,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7801.3529166666666667,6198.6100000000000000,8883.9800000000000000,374464.9400000000000000,48,25.0940000000000000,22.1,28.8,0,5.5940000000000000,,
2/01/2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8017.4597916666666667,6140.8200000000000000,9294.0700000000000000,384838.0700000000000000,48,24.7653846153846154,21.6,29.4,0,5.2653846153846154,,
3/01/2010,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7399.8995833333333333,6059.5300000000000000,8247.6100000000000000,355195.1800000000000000,48,19.4298245614035088,17.9,21.5,0,0,,
4/01/2010,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8241.7202083333333333,6067.4600000000000000,9468.9200000000000000,395602.5700000000000000,48,20.6259259259259259,17.9,23.9,0,1.1259259259259259,,
5/01/2010,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8827.8131250000000000,6313.4000000000000000,10687.2900000000000000,423735.0300000000000000,48,22.6604166666666667,15.4,27.7,0,3.1604166666666667,,
6/01/2010,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9021.7218750000000000,6568.4900000000000000,10879.1500000000000000,433042.6500000000000000,48,22.6795918367346939,20.3,25.6,0,3.1795918367346939,,
7/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8566.8475000000000000,6415.9500000000000000,9864.3500000000000000,411208.6800000000000000,48,21.8791666666666667,20.5,23.6,0,2.3791666666666667,,
8/01/2010,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8926.8110416666666667,6429.6200000000000000,10659.1900000000000000,428486.9300000000000000,48,22.8788461538461538,19.7,26.3,0,3.3788461538461538,,
9/01/2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9242.4602083333333333,6471.5100000000000000,11524.5200000000000000,443638.0900000000000000,48,27.4166666666666667,18.3,36.3,0,7.9166666666666667,,
10/01/2010,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9101.0406250000000000,6717.5600000000000000,10976.4400000000000000,436849.9500000000000000,48,25.2978723404255319,22.1,29.5,0,5.7978723404255319,,
11/01/2010,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9584.2200000000000000,6620.3800000000000000,11671.1700000000000000,460042.5600000000000000,48,23.7000000000000000,21.7,26.4,0,4.2000000000000000,,
12/01/2010,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10736.3429166666666667,7132.5000000000000000,13700.0200000000000000,515344.4600000000000000,48,26.9437500000000000,23.1,32,0,7.4437500000000000,,
13/01/2010,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9771.5700000000000000,7396.2900000000000000,12199.3600000000000000,469035.3600000000000000,48,23.4677966101694915,19,27.1,0,3.9677966101694915,,
14/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8810.4652083333333333,6501.7900000000000000,10118.9500000000000000,422902.3300000000000000,48,20.2941176470588235,19.3,22.3,0,0.7941176470588235,,
15/01/2010,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8988.7320833333333333,6508.8900000000000000,10593.7400000000000000,431459.1400000000000000,48,22.0452830188679245,19.7,25,0,2.5452830188679245,,
16/01/2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8370.9831250000000000,6582.8100000000000000,9625.7500000000000000,401807.1900000000000000,48,23.5106382978723404,20.9,27.2,0,4.0106382978723404,,
17/01/2010,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7915.4366666666666667,6238.9800000000000000,9170.4000000000000000,379940.9600000000000000,48,21.9916666666666667,17.3,26.6,0,2.4916666666666667,,
18/01/2010,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8526.4389583333333333,6297.9300000000000000,9840.7300000000000000,409269.0700000000000000,48,20.7862068965517241,14.7,24.8,0,1.2862068965517241,,
19/01/2010,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8527.1091666666666667,6452.9800000000000000,9695.5100000000000000,409301.2400000000000000,48,19.5456521739130435,14.5,25.3,0,0.045652174,,
20/01/2010,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8972.3635416666666667,6356.3000000000000000,10819.1100000000000000,430673.4500000000000000,48,21.9255319148936170,12,31.2,0,2.4255319148936170,,
21/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9957.9512500000000000,6623.9000000000000000,12758.9500000000000000,477981.6600000000000000,48,23.6584905660377358,17.4,31,0,4.1584905660377358,,
22/01/2010,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10745.4243750000000000,7007.9700000000000000,13765.0400000000000000,515780.3700000000000000,48,27.5740000000000000,21.2,36.2,0,8.0740000000000000,,
23/01/2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9579.3129166666666667,7228.9200000000000000,12278.9600000000000000,459807.0200000000000000,48,28.2084745762711864,21.2,41.1,0,8.7084745762711864,,
24/01/2010,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8065.2685416666666667,6476.6700000000000000,9004.2400000000000000,387132.8900000000000000,48,20.7543859649122807,17.7,23,0,1.2543859649122807,,
25/01/2010,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9304.5175000000000000,6570.8700000000000000,11418.8900000000000000,446616.8400000000000000,48,23.4729166666666667,19.2,27.7,0,3.9729166666666667,,
26/01/2010,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9294.9708333333333333,6699.9600000000000000,11504.6100000000000000,446158.6000000000000000,48,26.3580000000000000,23.1,32.1,0,6.8580000000000000,,
27/01/2010,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9571.3420833333333333,6915.3600000000000000,11681.5700000000000000,459424.4200000000000000,48,23.6840000000000000,21.9,26.6,0,4.1840000000000000,,
28/01/2010,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9474.5370833333333333,6751.3800000000000000,11452.1100000000000000,454777.7800000000000000,48,23.1620000000000000,20.5,27.1,0,3.6620000000000000,,
29/01/2010,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9396.9508333333333333,6644.4900000000000000,11453.2200000000000000,451053.6400000000000000,48,22.7185185185185185,18,27.4,0,3.2185185185185185,,
30/01/2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8389.7616666666666667,6502.3400000000000000,9461.3600000000000000,402708.5600000000000000,48,23.2895833333333333,20.5,26.8,0,3.7895833333333333,,
31/01/2010,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8440.6183333333333333,6531.5700000000000000,9749.4600000000000000,405149.6800000000000000,48,24.3980769230769231,20.6,28.5,0,4.8980769230769231,,
1/02/2010,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9565.0735416666666667,6661.0300000000000000,11580.2800000000000000,459123.5300000000000000,48,24.2673469387755102,19.6,29.2,0,4.7673469387755102,,
2/02/2010,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9140.9789583333333333,6785.9700000000000000,10625.1200000000000000,438766.9900000000000000,48,23.3362068965517241,21.1,26.9,0,3.8362068965517241,,
